Distribution Date,Territory Name,Track Id,Track Title,Source,Music User,Split %,Total Payable,Total Units,,
7/1/20,United States,16733468,TRUE BLOOD,STREAMING,APPLE MUSIC,100,0.06,5406,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,APPLE MUSIC,100,0.04,3199,,
7/1/20,United States,16046698,TOGETHER,STREAMING,APPLE MUSIC,100,0.04,3340,,
7/1/20,United States,16733468,TRUE BLOOD,STREAMING,APPLE MUSIC,100,0.01,1004,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,APPLE MUSIC,100,0.02,430,,
7/1/20,United States,23400765,BODY,STREAMING,APPLE MUSIC,100,0.01,77,,
7/1/20,United States,16046698,TOGETHER,STREAMING,APPLE MUSIC,100,0.02,450,,
7/1/20,United States,16733468,TRUE BLOOD,STREAMING,APPLE MUSIC,100,0.01,298,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,APPLE MUSIC,100,0.12,2456,,
7/1/20,United States,23400765,BODY,STREAMING,APPLE MUSIC,100,0.02,336,,
7/1/20,United States,21376176,THIS ME FUCK IT FEAT 2 CHAINZ,STREAMING,APPLE MUSIC,100,0.01,110,,
7/1/20,United States,16046698,TOGETHER,STREAMING,APPLE MUSIC,100,0.1,2020,,
7/1/20,United States,16733468,TRUE BLOOD,STREAMING,APPLE MUSIC,100,0.05,1678,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,APPLE MUSIC,100,0.05,846,,
7/1/20,United States,23400765,BODY,STREAMING,APPLE MUSIC,100,0.01,76,,
7/1/20,United States,21376176,THIS ME FUCK IT FEAT 2 CHAINZ,STREAMING,APPLE MUSIC,100,0.01,94,,
7/1/20,United States,16046698,TOGETHER,STREAMING,APPLE MUSIC,100,0.06,904,,
7/1/20,United States,16733468,TRUE BLOOD,STREAMING,APPLE MUSIC,100,0.03,627,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,APPLE MUSIC,100,0.02,470,,
7/1/20,United States,16046698,TOGETHER,STREAMING,APPLE MUSIC,100,0.02,534,,
7/1/20,United States,15506656,MIRRORS,OTHER,AUDIOMACK PE19,100,0.1,130508,,
7/1/20,United States,16965368,NOT A BAD THING,OTHER,AUDIOMACK PE19,100,0.01,11068,,
7/1/20,United States,18878439,RATCHET COMMANDMENTS,OTHER,AUDIOMACK PE19,100,0.01,4613,,
7/1/20,United States,16822553,ROCKET,OTHER,AUDIOMACK PE19,100,0.05,69692,,
7/1/20,United States,21308737,YEAH I SAID IT,OTHER,AUDIOMACK PE19,100,0.04,91810,,
7/1/20,United States,15506656,MIRRORS,OTHER,CCS INT & PREM,100,0.55,8,,
7/1/20,United States,16729881,DRINK YOU AWAY,STREAMING VIDEO,DAILY MOTION,100,0.02,42,,
7/1/20,United States,15794951,GROWN WOMAN,STREAMING VIDEO,DAILY MOTION,100,0.03,68,,
7/1/20,United States,15506656,MIRRORS,STREAMING VIDEO,DAILY MOTION,100,0.03,57,,
7/1/20,United States,15612645,PUSHER LOVE GIRL,STREAMING VIDEO,DAILY MOTION,100,0.15,300,,
7/1/20,United States,16822553,ROCKET,STREAMING VIDEO,DAILY MOTION,100,0.02,30,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,DEEZER,100,0.01,80,,
7/1/20,United States,16965371,AMNESIA,STREAMING,DEEZER,100,0.01,122,,
7/1/20,United States,15612639,BLUE OCEAN FLOOR,STREAMING,DEEZER,100,0.01,130,,
7/1/20,United States,15612667,DON T HOLD THE WALL,STREAMING,DEEZER,100,0.01,180,,
7/1/20,United States,16729881,DRINK YOU AWAY,STREAMING,DEEZER,100,0.04,866,,
7/1/20,United States,15665130,LET THE GROOVE IN,STREAMING,DEEZER,100,0.01,156,,
7/1/20,United States,15506656,MIRRORS,STREAMING,DEEZER,100,0.33,7867,,
7/1/20,United States,20094132,MOVIN BASS,STREAMING,DEEZER,100,0.01,190,,
7/1/20,United States,16965368,NOT A BAD THING,STREAMING,DEEZER,100,0.02,592,,
7/1/20,United States,16031507,PICASSO BABY,STREAMING,DEEZER,100,0.01,320,,
7/1/20,United States,15612645,PUSHER LOVE GIRL,STREAMING,DEEZER,100,0.01,334,,
7/1/20,United States,16822553,ROCKET,STREAMING,DEEZER,100,0.04,913,,
7/1/20,United States,16157089,TAKE BACK THE NIGHT,STREAMING,DEEZER,100,0.01,344,,
7/1/20,United States,16031508,TOM FORD,STREAMING,DEEZER,100,0.02,935,,
7/1/20,United States,15612678,TUNNEL VISION,STREAMING,DEEZER,100,0.01,238,,
7/1/20,United States,17666273,WALK IT OUT,STREAMING,DEEZER,100,0.01,161,,
7/1/20,United States,16242755,WOODS,STREAMING,DEEZER,100,0.01,121,,
7/1/20,United States,21308737,YEAH I SAID IT,STREAMING,DEEZER,100,0.04,1476,,
7/1/20,United States,16965370,YOU GOT IT ON,STREAMING,DEEZER,100,0.01,263,,
7/1/20,United States,14974381,HANDS IN THE AIR,OTHER,DIGITALLY IMPOR,100,0.01,164,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,GOOGLE PLAY,100,0.08,3651,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,GOOGLE PLAY,100,0.06,3989,,
7/1/20,United States,16031516,JAY Z BLUE,STREAMING,GOOGLE PLAY,100,0.01,8113,,
7/1/20,United States,16046698,TOGETHER,STREAMING,GOOGLE PLAY,100,0.03,2390,,
7/1/20,United States,16733468,TRUE BLOOD,STREAMING,GOOGLE PLAY,100,0.03,3160,,
7/1/20,United States,14974381,HANDS IN THE AIR,STREAMING,IHEART,100,0.02,5157,,
7/1/20,United States,15506656,MIRRORS,STREAMING,IHEART,100,0.66,173838,,
7/1/20,United States,16965368,NOT A BAD THING,STREAMING,IHEART,100,0.07,18832,,
7/1/20,United States,18878439,RATCHET COMMANDMENTS,STREAMING,IHEART,100,0.06,8323,,
7/1/20,United States,16157089,TAKE BACK THE NIGHT,STREAMING,IHEART,100,0.04,10014,,
7/1/20,United States,16031508,TOM FORD,STREAMING,IHEART,100,0.02,14966,,
7/1/20,United States,15506656,MIRRORS,STREAMING,IHEART,100,0.2,36232,,
7/1/20,United States,16965368,NOT A BAD THING,STREAMING,IHEART,100,0.02,3419,,
7/1/20,United States,18878439,RATCHET COMMANDMENTS,STREAMING,IHEART,100,0.01,1129,,
7/1/20,United States,16157089,TAKE BACK THE NIGHT,STREAMING,IHEART,100,0.01,885,,
7/1/20,United States,16031508,TOM FORD,STREAMING,IHEART,100,0.03,14713,,
7/1/20,United States,16729881,DRINK YOU AWAY,STREAMING,IHEART,100,0.01,1688,,
7/1/20,United States,19279883,IF THEY KNEW,STREAMING,IHEART,100,0.01,277,,
7/1/20,United States,15506656,MIRRORS,STREAMING,IHEART,100,0.13,23763,,
7/1/20,United States,16965368,NOT A BAD THING,STREAMING,IHEART,100,0.02,2976,,
7/1/20,United States,18878439,RATCHET COMMANDMENTS,STREAMING,IHEART,100,0.01,1203,,
7/1/20,United States,16822553,ROCKET,STREAMING,IHEART,100,0.01,910,,
7/1/20,United States,16157089,TAKE BACK THE NIGHT,STREAMING,IHEART,100,0.01,964,,
7/1/20,United States,16031508,TOM FORD,STREAMING,IHEART,100,0.03,14445,,
